COMPLEXID,SEGMENTID,the_geom,SAFTYPE,SOS,PLACEID,FACI_DOM,BIN,BOROUGH,CREATED,MODIFIED,FACILITY_T,SOURCE,B7SC,PRI_ADD,NAME
148,9003016,-73.87314230769698 40.66809818891372,X,1,1016047,3,3324304,3,10/04/2012 12:00:00 AM +0000,03/22/2013 12:00:00 AM +0000,1,OTHER,31178515,3133561,EAST NYC LINE BUILDING 10
324,9002083,-73.89936753126975 40.81945966109034,G,1,8263,3,0,2,05/14/2009 12:00:00 AM +0000,01/10/2013 12:00:00 AM +0000,1,NYCHA,21186001,0,STEBBINS AVE - HEWITT PLACE HOUSES
304,9007307,-73.90825771029118 40.81731386826573,X,1,8332,3,2093933,2,05/14/2009 12:00:00 AM +0000,01/10/2013 12:00:00 AM +0000,1,DCP,26591005,2008266,ST MARYS PARK PROJECTS BLDG 4
0,87682,-73.86326056237986 40.86679749926497,,,13943,2,2053752,2,05/14/2009 12:00:00 AM +0000,03/12/2013 12:00:00 AM +0000,3,DoITT,,2059519,ALLERTON LIBRARY
287,9001337,-74.0098542774406 40.676699545932884,X,2,7943,3,3323704,3,05/14/2009 12:00:00 AM +0000,03/18/2013 12:00:00 AM +0000,1,DCP,37313202,3011263,RED HOOK II PROJECTS BLDG 1
370,78727,-73.88973168904762 40.8261517140029,X,1,6451,3,2006157,2,05/14/2009 12:00:00 AM +0000,01/14/2013 12:00:00 AM +0000,1,DCP,27645502,2011961,W FARMS ROAD REHAB BUILDING 1
356,9005943,-73.98357254660863 40.71225133674917,X,1,7807,3,1077521,1,05/14/2009 12:00:00 AM +0000,06/26/2017 12:00:00 AM +0000,1,DCP,11138003,1063803,VLADECK PROJECTS BUILDING 2
366,9002437,-73.90840347120334 40.83286851690635,G,2,8289,3,0,2,05/14/2009 12:00:00 AM +0000,01/14/2013 12:00:00 AM +0000,1,NYCHA,27373001,0,DANIEL WEBSTER PROJECTS COMPLEX
366,9002426,-73.90846637142131 40.83229311725808,X,1,8014,3,2091186,2,05/14/2009 12:00:00 AM +0000,01/14/2013 12:00:00 AM +0000,1,DCP,27373005,2003393,WEBSTER PROJECTS BUILDING 4
347,9002479,-73.89977593049673 40.82623074398315,G,2,8278,3,0,2,05/14/2009 12:00:00 AM +0000,01/14/2013 12:00:00 AM +0000,1,NYCHA,21185501,0,UNION AVE-E 166 STREET HOUSES
370,9002181,-73.8896332563377 40.8263339031483,G,2,17643,3,0,2,05/14/2009 12:00:00 AM +0000,01/14/2013 12:00:00 AM +0000,1,NYCHA,27645501,0,WEST FARMS ROAD REHAB
366,9002433,-73.90903254733558 40.832507474498925,X,2,13247,3,2091187,2,05/14/2009 12:00:00 AM +0000,01/14/2013 12:00:00 AM +0000,1,DCP,27373006,2003394,WEBSTER HOUSES BUILDING 5
366,9002440,-73.90852034010102 40.83357251945634,X,2,8536,3,2091188,2,05/14/2009 12:00:00 AM +0000,01/14/2013 12:00:00 AM +0000,1,DCP,27373002,2003396,D WEBSTER PROJECTS BUILDING 1
